feature_id,GSM634633,GSM634634,GSM634635,GSM634636,GSM634637,GSM634638,GSM634639,GSM634640,GSM634641,GSM634642,GSM634643,GSM634644,GSM634645,GSM634646,GSM634647,GSM634648,GSM634649,GSM634650,GSM634651,GSM634652,GSM634653,GSM634654,GSM634655,GSM634656,GSM634657,GSM634658,GSM634659,GSM634660,GSM634661,GSM634662,GSM634663,GSM634664,GSM634665,GSM634666,GSM634667,GSM634668,GSM634669,GSM634670,GSM634671,GSM634672,GSM634673,GSM634674,GSM634675,GSM634676,GSM634677,GSM634678,GSM634679,GSM634680,GSM634681,GSM634682,GSM634683,GSM634684,GSM634685,GSM634686,GSM634687,GSM634688,GSM634689,GSM634690,GSM634691,GSM634692,GSM634693,GSM634694,GSM634695,GSM634696,GSM634697,GSM634698,GSM634699,GSM634700,GSM634701,GSM634702,GSM634703,GSM634704,GSM634705,GSM634706,GSM634707,GSM634708,GSM634709,GSM634710,GSM634711,GSM634712,GSM634713,GSM634714,GSM634715,GSM634716,GSM634717,GSM634718,GSM634719,GSM634720,GSM634721,GSM634722,GSM634723,GSM634724,GSM634725
ILMN_1651358,216.114,3271.789,180.421,178.331,161.816,195.292,186.865,189.956,194.214,176.209,174.378,259.004,161.323,200.399,275.288,184.316,162.891,252.513,152.634,203.12,213.839,161.873,213.203,325.34,197.206,231.617,167.659,171.837,224.142,153.936,271.318,281.678,349.597,211.505,224.011,162.243,168.844,498.844,243.126,192.843,201.153,293.535,178.741,209.417,188.245,151.041,264.063,461.091,165.789,244.347,490.009,178.548,583.618,183.07,210.847,308.416,180.446,164.275,172.1,224.406,984.046,176.01,218.404,482.08,166.929,197.46,224.305,160.69,145.621,169.364,191.464,183.092,181.852,177.215,188.38,192.734,196.317,171.914,169.614,180.672,342.839,601.459,244.856,346.844,171.067,245.081,185.109,284.788,169.905,717.448,285.386,234.041,574.67
ILMN_1651364,337.858,355.368,313.734,322.888,354.1,274.794,290.355,312.931,302.832,338.782,309.356,322.24,314.051,296.965,341.043,364.994,330.855,305.091,259.096,268.759,349.815,300.526,289.981,346.844,314.447,402.457,374.604,284.513,307.468,318.554,310.302,293.919,329.912,330.049,279.944,323.312,294.452,383.436,298.566,344.301,321.096,349.739,333.245,325.576,302.402,307.938,303.368,303.314,521.978,289.981,322.116,309.963,305.813,292.906,496.296,296.311,331.405,276.059,255.369,333.313,282.795,291.508,267.892,360.459,360.241,313.99,304.719,263.145,327.719,373.176,370.439,290.265,314.793,303.038,304.133,311.289,311.752,343.144,316.283,386.007,306.332,296.713,241.084,274.994,340.971,279.392,289.71,309.059,395.701,346.262,307.086,272.868,323.194
ILMN_1651365,133.951,164.591,147.735,170.441,151.018,144.381,137.388,151.45,167.886,142.44,146.038,149.813,151.068,147.227,166.007,145.081,159.566,160.676,135.696,140.521,149.494,138.192,137.2,149.778,145.736,150.479,144.113,166.934,153.754,162.796,150.971,154.944,136.223,121.131,138.671,166.905,142.095,146.892,144.335,133.583,161.504,127.728,141.376,162.239,143.277,136.455,148.219,168.627,169.755,150.81,110.62,147.012,170.346,125.123,135.296,160.772,141.874,131.519,146.309,151.231,146.126,145.811,140.112,148.2,191.293,154.247,152.149,143.687,152.717,133.347,124.929,144.381,159.154,156.159,148.826,116.731,178.825,149.638,148.479,155.024,144.646,130.054,124.994,160.268,152.35,137.268,163.759,150.859,136.171,139.933,153.097,143.767,152.127
ILMN_1651370,452.576,494.945,546.354,489.498,560.629,409.928,516.899,446.609,451.047,511.064,503.979,458.613,518.114,519.525,522.72,489.541,473.367,473.921,499.01,455.695,457.283,516.858,495.449,525.411,524.878,498.271,486.363,452.791,453.521,475.682,469.518,516.984,463.902,475.642,444.446,468.858,461.676,465.766,464.879,432.541,470.094,493.911,456.281,455.103,441.878,478.421,506.751,487.059,512.295,507.789,460.622,454.71,482.04,486.51,471.143,514.905,508.277,444.41,461.503,530.53,441.246,495.67,481.874,484.976,509.712,491.116,459.207,476.499,476.32,503.527,475.879,443.102,486.402,499.557,508.33,521.965,534.247,532.817,479.02,528.269,488.19,446.902,470.216,474.669,491.923,465.707,521.623,494.743,530.27,475.043,478.901,537.98,472.762
ILMN_1651373,165.163,795.707,191.047,138.576,138.671,213.203,174.999,192.156,156.261,129.936,173.673,191.362,157.055,175.963,240.845,143.062,191.107,231.474,155.311,238.216,164.914,156.77,168.516,160.79,198.338,153.633,196.884,153.68,179.554,194.947,168.344,169.045,191.082,178.7,249.311,151.376,168.364,158.847,220.226,152.27,158.379,183.66,143.891,161.978,179.764,170.483,176.563,190.422,207.603,184.763,286.761,168.733,233.536,189.284,186.856,210.052,167.182,186.731,180.258,186.068,446.922,164.577,152.782,186.403,181.946,165.015,232.693,162.96,158.466,199.183,152.359,148.003,184.897,142.308,166.094,178.478,156.485,171.873,167.863,170.68,200.914,141.445,174.212,152.473,168.1,165.81,206.493,158.678,183.472,277.297,216.352,163.458,197.863
ILMN_1651378,701.12,665.132,729.372,838.999,696.46,709.611,793.95,717.627,749.952,601.459,744.27,646.848,772.009,813.949,672.024,844.044,768.742,651.454,771.364,684.159,722.44,690.334,702.082,643.743,740.023,826.979,795.06,900.464,791.202,784.826,661.642,631.994,793.95,547.785,928.611,689.552,824.516,965.618,556.771,700.732,753.52,691.303,771.125,751.556,798.979,873.304,702.937,1036.11,743.378,728.051,821.966,723.511,724.099,861.513,736.169,589.57,702.536,746.888,764.951,659.985,722.667,798.514,659.641,676.691,547.652,720.295,624.387,890.493,759.974,712.172,788.907,766.543,625.894,699.862,789.886,854.615,711.599,601.764,865.281,689.764,666.984,845.306,726.496,834.759,711.008,788.907,883.149,716.873,689.944,603.091,697.872,865.806,661.457
ILMN_1651385,858.795,2048.105,848.083,924.605,808.826,1226.135,1091.89,977.106,881.353,907.111,838.999,1039.098,913.494,697.489,1005.184,795.707,968.465,1113.606,869.299,895.263,1079.477,896.343,739.59,773.717,1303.836,860.534,714.642,816.336,897.406,866.86,957.76,1004.166,894.745,1073.786,945.728,923.493,1003.155,762.67,925.721,886.642,836.698,879.723,1001.943,954.968,866.572,742.711,954.119,1486.115,845.036,964.453,1031.094,851.052,1154.443,826.493,951.425,918.215,856.009,1051.532,855.341,794.819,971.748,887.497,1184.694,938.808,901.673,862.816,1282.365,837.017,739.59,955.258,656.377,939.936,878.919,916.504,661.457,912.229,890.493,830.604,832.104,767.015,881.079,1012.148,848.64,913.252,861.513,749.707,809.043,994.213,957.243,1312.997,789.886,878.363,833.773
ILMN_1651429,537.802,767.67,539.567,812.562,674.442,372.509,652.184,381.576,815.841,611.003,638.63,514.099,602.579,782.386,747.539,482.473,690.334,602.899,511.782,734.088,559.013,676.104,545.415,593.29,480.631,602.215,791.413,593.007,432.073,616.406,586.495,759.742,649.523,727.849,689.764,713.599,719.909,759.515,986.52,838.749,671.435,684.333,543.235,681.678,464.702,595.877,580.107,710.238,623.029,401.622,513.604,689.552,624.697,511.627,439.9,657.447,635.963,542.234,400.063,594.293,814.438,402.829,603.091,818.334,1307.191,648.246,730.167,582.432,545.559,896.096,612.422,489.027,698.678,687.028,568.287,499.841,639.112,596.435,860.814,651.061,373.728,648.835,706.154,773.717,781.102,598.493,688.404,706.98,886.642,592.387,606.749,728.93,634.434
ILMN_1651438,955.258,1127.905,732.243,1121.269,853.773,853.773,953.299,818.608,988.053,988.344,819.102,1102.216,819.337,859.811,914.58,918.785,793.033,969.037,862.04,1326.751,894.51,972.36,862.606,988.896,777.708,799.428,882.377,886.941,942.493,832.104,798.979,1264.525,1071.226,998.669,848.083,941.312,890.493,927.496,911.429,1042.309,1108.893,947.487,928.048,1128.63,973.208,859.277,989.231,1045.34,757.543,911.667,763.116,883.149,815.143,896.857,939.33,882.689,1143.969,949.675,895.522,753.735,1171.628,943.953,957.006,1134.208,1263.301,1243.797,1435.978,873.304,681.096,1040.968,699.862,1222.633,1001.943,990.208,933.225,1031.458,815.369,1073.14,926.582,1097.886,964.967,1344.96,930.338,863.755,1280.265,1069.18,905.485,1260.73,867.921,1062.22,874.242,822.77,1122.407
ILMN_1651457,142.016,155.709,151.703,144.235,138.158,140.297,150.194,176.697,151.313,165.154,150.057,136.405,151.276,134.54,157.632,137.471,149.151,128.891,151,148.729,144.852,158.624,136.755,138.721,154.722,141.005,130.25,134.404,145.58,141.757,161.94,154.67,150.851,167.071,134.932,135.169,134.684,152.893,152.92,141,143.321,173.803,137.962,152.897,138.274,140.494,154.791,156.197,157.348,163.535,147.562,159.137,152.98,167.579,137.906,132.528,151.689,151.542,140.693,162.348,137.425,140.506,139.954,137.844,133.951,136.945,153.972,150.665,142.543,134.987,139.621,137.001,170.901,149.967,149.574,139.397,136.795,138.584,144.456,164.86,166.864,140.667,158.927,153.759,112.887,150.94,157.862,152.045,136.805,165.873,137.488,132.889,182.345
