dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE10072,majority,R,25,0.5419913419913418,0.01797970533099124,0.5,0.0,0.351403743315508,0.007521136533217896,0.0,0.0
GSE17920,ranger_rf,R,25,0.7923076923076924,0.05551444896054095,0.6666186299081036,0.08497312658410013,0.6822575018894987,0.10251406566998794,0.44428847513317804,0.203865912334095
GSE17920,xgboost_shallow,R,25,0.7769230769230769,0.05087983290508841,0.6469340016708438,0.07776542379092609,0.6574910907623389,0.0978915113037209,0.3937058775947085,0.19703786201383802
GSE17920,rpart_tree,R,25,0.7123076923076923,0.07860344131266328,0.6339870509607352,0.0944099065323073,0.6337534199086111,0.09681237199052227,0.2857590204137348,0.19023388178050257
GSE17920,svm_linear,R,25,0.6846153846153845,0.08951435925492929,0.6216019214703425,0.10811507695605944,0.615422267312077,0.10754914639745328,0.24517483159405284,0.21574902027390705
GSE17920,switchbox_tsp,R,25,0.5784615384615384,0.08705685190443564,0.5801482873851296,0.08588702381567305,0.5488189204809197,0.08042063593011474,0.15107415713435027,0.15825171578178773
GSE17920,py_tsp,python_gene_pair,25,0.5784615384615385,0.08705685190443568,0.5801482873851295,0.08588702381567304,0.5488189204809197,0.08042063593011467,0.15107415713435027,0.15825171578178768
GSE17920,py_reos_svm,python_gene_pair,25,0.6615384615384614,0.08234123447862264,0.5796679197994987,0.1063806797653821,0.5734485846604513,0.11076977097409939,0.16260966263972737,0.22040495696847318
GSE17920,py_tsp_svm,python_gene_pair,25,0.6615384615384614,0.08234123447862264,0.5796679197994987,0.1063806797653821,0.5734485846604513,0.11076977097409939,0.16260966263972737,0.22040495696847318
GSE17920,rrf_ranktreeensemble,R,25,0.6276923076923075,0.10398850641996753,0.575123224728488,0.0905382201376796,0.5589964537363253,0.09630978565479319,0.15185959916618233,0.1790502843070852
