dataset_id,method_id,source_group,accuracy,balanced_accuracy,macro_f1,mcc
GSE25837,rpart_tree,r_classical_reference,0.574555555555556,0.428809523809524,0.409655942097119,-0.149179878899059
GSE25837,svm_linear,r_classical_reference,0.648888888888889,0.527619047619048,0.50507886721122,0.0359989549785607
GSE25837,xgboost_shallow,r_classical_reference,0.725888888888889,0.482380952380952,0.422280462184874,-0.0443353736144795
GSE25837,rrf_ranktreeensemble,r_relational,0.661111111111111,0.488452380952381,0.43592125603155,-0.0243557837157486
GSE25837,switchbox_ktsp,r_relational,0.397888888888889,0.349047619047619,0.329459817959818,-0.277105738934685
GSE25837,switchbox_tsp,r_relational,0.482111111111111,0.566428571428571,0.454088314463314,0.125522841047827
GSE25837,tspdt_bigtsp,r_relational,0.575888888888889,0.453095238095238,0.443284549600726,-0.0845592313519511
GSE27272,pyrrm_knn5,pyrrm_relational_knn,0.6143670450636395,0.4501538461538461,0.4039897141908682,-0.1424919896850631
GSE27272,py_reos,python_gene_pair,0.4327588579291365,0.3858205128205128,0.373145679788858,-0.2205197083458944
GSE27272,py_reos_svm,python_gene_pair,0.5626504987960097,0.4457371794871795,0.433569706519033,-0.1111858242104721
GSE27272,py_tsp,python_gene_pair,0.4664809081527348,0.4352884615384615,0.4199963904563034,-0.1233896757054658
GSE27272,py_tsp_rf,python_gene_pair,0.6741279669762642,0.4855576923076923,0.4130812055225292,-0.0497110135329377
GSE27272,py_tsp_svm,python_gene_pair,0.5626504987960097,0.4457371794871795,0.433569706519033,-0.1111858242104721
GSE27272,glmnet_enet,r_classical_reference,0.692672858617131,0.497455128205128,0.414348100164883,-0.0061367818909394
GSE27272,knn_euclidean,r_classical_reference,0.630356037151703,0.467019230769231,0.422689469494169,-0.0941731147691946
GSE27272,majority,r_classical_reference,0.699948400412797,0.5,0.411690072302558,0.0
GSE27272,ranger_rf,r_classical_reference,0.67030959752322,0.504480769230769,0.461239047287838,0.017945355765074
GSE27272,rpart_tree,r_classical_reference,0.591104231166151,0.515435897435897,0.504481707447713,0.0405303918564856
GSE27272,svm_linear,r_classical_reference,0.637463020295838,0.545403846153846,0.53751152422582,0.0926587972097261
GSE27272,xgboost_shallow,r_classical_reference,0.694905400756794,0.501564102564103,0.423865055087664,0.0064991943974842
GSE27272,rrf_ranktreeensemble,r_relational,0.607007223942209,0.481416666666667,0.455180050367824,-0.0408850323375009
GSE27272,switchbox_ktsp,r_relational,0.405036119711042,0.431570512820513,0.384115982962611,-0.133368687128161
GSE27272,switchbox_tsp,r_relational,0.458949088407293,0.503987179487179,0.435286278201839,0.0182447581778966
GSE27272,tspdt_bigtsp,r_relational,0.543476092191263,0.458410256410256,0.449682591859209,-0.0858450443856399
GSE3365,pyrrm_knn5,pyrrm_relational_knn,0.7766483516483517,0.799,0.765152464322743,0.5822267149684166
GSE3365,py_reos,python_gene_pair,0.7663736263736264,0.8050138888888888,0.7596094191755957,0.5870885232140383
GSE3365,py_reos_svm,python_gene_pair,0.8620970695970697,0.847125,0.8440939050199886,0.7063756874680306
GSE3365,py_tsp,python_gene_pair,0.836007326007326,0.8653888888888889,0.8296119770752124,0.7060741178721799
GSE3365,py_tsp_rf,python_gene_pair,0.8793315018315019,0.8596388888888888,0.8592879731637472,0.741106895866006
GSE3365,py_tsp_svm,python_gene_pair,0.8620970695970697,0.847125,0.8440939050199886,0.7063756874680306
GSE3365,glmnet_enet,r_classical_reference,0.944716117216117,0.942222222222222,0.937427544935285,0.884801316553602
GSE3365,knn_euclidean,r_classical_reference,0.8078663003663,0.811875,0.790741513646313,0.615380350613267
GSE3365,majority,r_classical_reference,0.66959706959707,0.5,0.40098814229249,0.0
GSE3365,ranger_rf,r_classical_reference,0.874505494505494,0.841472222222222,0.847300142066396,0.721402796979844
GSE3365,rpart_tree,r_classical_reference,0.855357142857143,0.822819444444445,0.825173485134987,0.679508201784019
GSE3365,svm_linear,r_classical_reference,0.933974358974359,0.930152777777778,0.925218549768085,0.864028798522707
GSE3365,xgboost_shallow,r_classical_reference,0.884716117216117,0.857555555555556,0.85991652980102,0.743940444070149
GSE3365,rrf_ranktreeensemble,r_relational,0.761428571428572,0.783486111111111,0.736172859218525,0.559808307377381
GSE3365,switchbox_ktsp,r_relational,0.828589743589744,0.824291666666667,0.809498075969438,0.654962783838049
GSE3365,switchbox_tsp,r_relational,0.80518315018315,0.830458333333333,0.795152856130797,0.639017647166288
GSE3365,tspdt_bigtsp,r_relational,0.85978021978022,0.8385,0.836915457478538,0.697392685967963
GSE6613,pyrrm_knn5,pyrrm_relational_knn,0.5680909090909091,0.5731666666666667,0.5541024531024531,0.1528028576673133
GSE6613,py_reos,python_gene_pair,0.5526363636363636,0.5646666666666667,0.515074161949162,0.1714294783762038
GSE6613,py_reos_svm,python_gene_pair,0.4978181818181818,0.4975,0.4852434509934509,-0.0004479580313993
GSE6613,py_tsp,python_gene_pair,0.518,0.5246666666666667,0.4896095987345987,0.0601681085398457
GSE6613,py_tsp_rf,python_gene_pair,0.5127272727272727,0.5131666666666667,0.4960324952824952,0.0345840788195154
GSE6613,py_tsp_svm,python_gene_pair,0.4978181818181818,0.4975,0.4852434509934509,-0.0004479580313993
GSE6613,glmnet_enet,r_classical_reference,0.531545454545455,0.519,0.427905259772907,0.0405163417854748
GSE6613,knn_euclidean,r_classical_reference,0.595,0.597,0.58242007992008,0.205596114767371
GSE6613,majority,r_classical_reference,0.522727272727273,0.5,0.34313725490196,0.0
GSE6613,ranger_rf,r_classical_reference,0.533363636363636,0.532666666666667,0.519373834498834,0.0664254029301254
GSE6613,rpart_tree,r_classical_reference,0.486272727272727,0.483666666666667,0.47153885003885,-0.0355412019179022
GSE6613,svm_linear,r_classical_reference,0.549818181818182,0.552333333333333,0.536128177378177,0.110898801631835
GSE6613,xgboost_shallow,r_classical_reference,0.527363636363636,0.525333333333333,0.509639638139638,0.0525803334801571
GSE6613,rrf_ranktreeensemble,r_relational,0.470727272727273,0.470333333333333,0.39846284352902,-0.0778113534509426
GSE6613,switchbox_ktsp,r_relational,0.605545454545454,0.614333333333333,0.582548423798424,0.261260878927875
GSE6613,switchbox_tsp,r_relational,0.488454545454546,0.494833333333333,0.450702505827506,-0.0096299810419765
GSE6613,tspdt_bigtsp,r_relational,0.556545454545455,0.556333333333333,0.546355366855367,0.115924687242734
