dataset_id,method_id,accuracy,balanced_accuracy,macro_f1,mcc,sensitivity,specificity,f1_pos,f1_neg,auc,brier,logloss,accuracy_sd,balanced_accuracy_sd,macro_f1_sd,mcc_sd,sensitivity_sd,specificity_sd,f1_pos_sd,f1_neg_sd,auc_sd,brier_sd,logloss_sd,n_folds
GSE17920,rrf_ranktreeensemble,0.649441391941392,0.612805555555556,0.592208853367135,0.222701243716518,0.525833333333333,0.699777777777778,0.454839715839716,0.729577990894554,,,,0.130864327160547,0.140674766900107,0.140394858759624,0.277116568785723,0.252010713167251,0.171311847505937,0.198460858707836,0.122078627908844,,,,100
GSE17920,switchbox_ktsp,0.527884615384615,0.504583333333333,0.480516459326259,0.00968487519254239,0.449166666666667,0.56,0.34733078033078,0.613702138321737,,,,0.150408555760918,0.159838317247637,0.148652067023821,0.307568166318989,0.267720717756489,0.185528301660547,0.190175705860295,0.153967403078902,,,,100
GSE17920,switchbox_tsp,0.566163003663004,0.557666666666667,0.525036981637214,0.107921346883867,0.54,0.575333333333334,0.405779997779998,0.64429396549443,,,,0.113044370329473,0.136855553683024,0.121360598940653,0.25922755634853,0.269700752820287,0.147046238760832,0.174906592976958,0.11539620657612,,,,100
GSE17920,tspdt_bigtsp,0.636959706959707,0.553,0.544010866896299,0.115638496654635,0.351666666666667,0.754333333333334,0.347046897546898,0.740974836245701,,,,0.117639071046796,0.127956786725971,0.131044145595671,0.270425207277708,0.22272040118583,0.14518840613482,0.198289452790867,0.0984743868940555,,,,100
GSE19804,majority,0.5,0.5,0.333333333333333,0,0,1,0,0.666666666666667,0.5,0.25,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,100
GSE19804,rrf_ranktreeensemble,0.898333333333333,0.898333333333333,0.894867989853284,0.813939330443826,0.855,0.941666666666667,0.884067932067932,0.905668047638636,,,,0.0959183856220313,0.0959183856220313,0.102868839076959,0.173128556274314,0.179872445140336,0.0987435090707937,0.1264020734323,0.084709877762315,,,,100
GSE19804,switchbox_ktsp,0.9375,0.9375,0.936755244755245,0.883001693467296,0.941666666666667,0.933333333333333,0.937073593073593,0.936436896436896,,,,0.068426888408279,0.068426888408279,0.0695817814017119,0.129031405262168,0.0987435090707937,0.100503781525921,0.0707875034263616,0.0702192843487519,,,,100
GSE19804,switchbox_tsp,0.945833333333333,0.945833333333333,0.945343656343656,0.897379289685721,0.948333333333333,0.943333333333333,0.94538961038961,0.945297702297702,,,,0.0704473042149663,0.0704473042149663,0.0711248812701931,0.135359535721838,0.0938483864584415,0.0924173425696275,0.0715565674939783,0.0717527657892041,,,,100
GSE19804,tspdt_bigtsp,0.908333333333333,0.908333333333333,0.907114885114885,0.828075740315272,0.913333333333333,0.903333333333333,0.90826973026973,0.90596003996004,,,,0.0816324741173971,0.0816324741173971,0.0830474716823252,0.156716232730166,0.114787658350277,0.125752504867136,0.083170277387848,0.0856698983495601,,,,100
GSE25837,majority,0.754444444444445,0.5,0.429779411764706,0,1,0,0.859558823529412,0,0.5,0.185573357687779,0.558250680797073,0.0358218145033653,0,0.0118528062694958,0,0,0,0.0237056125389916,0,0,0.0183646876248397,0.0405797869315976,100
GSE25837,rrf_ranktreeensemble,0.661111111111111,0.488452380952381,0.43592125603155,-0.0243557837157486,0.828571428571429,0.148333333333333,0.766604416825005,0.105238095238095,,,,0.143942839661831,0.0989456169702128,0.0950324938253423,0.205096310790996,0.236792975431642,0.273086650612924,0.149346103163354,0.187628253682709,,,,100
GSE25837,switchbox_ktsp,0.397888888888889,0.349047619047619,0.329459817959818,-0.277105738934685,0.441428571428571,0.256666666666667,0.503139693639694,0.155779942279942,,,,0.168202389685009,0.178036556657725,0.145539148519564,0.322983776400158,0.210128015088924,0.313751422477448,0.190308175469521,0.187910837261174,,,,100
GSE25837,switchbox_tsp,0.482111111111111,0.566428571428571,0.454088314463314,0.125522841047827,0.402857142857143,0.73,0.515927045177045,0.392249583749584,,,,0.166152555366506,0.197459325684327,0.164806046084589,0.365319612341024,0.201396894544424,0.372888744416726,0.197632105866201,0.202091391162246,,,,100
GSE25837,tspdt_bigtsp,0.575888888888889,0.453095238095238,0.443284549600726,-0.0845592313519511,0.692857142857143,0.213333333333333,0.700672273804627,0.185896825396825,,,,0.156865217927957,0.164198902131773,0.153602159760822,0.320379437655002,0.183165999983031,0.260664780793509,0.136876009115111,0.223188531427149,,,,100
GSE27272,majority,0.699948400412797,0.5,0.411690072302558,0,0,1,0,0.823380144605117,0.5,0.210086922943717,0.611065586452978,0.0168090776481536,0,0.0058002381134692,0,0,0,0,0.0116004762269388,0,0.00668374440682802,0.0141478086122848,100
GSE27272,rrf_ranktreeensemble,0.607007223942209,0.481416666666667,0.455180050367824,-0.0408850323375009,0.167,0.795833333333333,0.179783522033522,0.730576578702125,,,,0.103615771941774,0.0849981382931726,0.0968690459128151,0.211427404058377,0.165449766214074,0.166348527374465,0.163822202905536,0.103329963032603,,,,100
GSE27272,switchbox_ktsp,0.405036119711042,0.431570512820513,0.384115982962611,-0.133368687128161,0.498333333333333,0.364807692307692,0.324209525338782,0.44402244058644,,,,0.109462238664738,0.110986211814672,0.101625081378833,0.219480958303055,0.227284511479003,0.166933161615087,0.121705435303495,0.154057359433299,,,,100
GSE27272,switchbox_tsp,0.458949088407293,0.503987179487179,0.435286278201839,0.0182447581778966,0.617333333333333,0.390641025641026,0.387447074384314,0.483125482019364,,,,0.102143333752397,0.125234311104679,0.104688486593353,0.250604722143808,0.29910003431544,0.166569064721443,0.14902460900751,0.153405131388786,,,,100
GSE27272,tspdt_bigtsp,0.543476092191263,0.458410256410256,0.449682591859209,-0.0858450443856399,0.245666666666667,0.671153846153846,0.231276788570906,0.668088395147511,,,,0.11414848474824,0.126519227273705,0.123389454122595,0.252685343276503,0.212179910108492,0.134315967996095,0.182759433411878,0.0996975409895154,,,,100
GSE3365,majority,0.66959706959707,0.5,0.40098814229249,0,0,1,0,0.80197628458498,0.5,0.221312771014233,0.634635196082778,0.0174665649502548,0,0.00627161608105608,0,0,0,0,0.0125432321621122,0,0.00592105262497568,0.0123304780034152,100
GSE3365,rrf_ranktreeensemble,0.761428571428572,0.783486111111111,0.736172859218525,0.559808307377381,0.8485,0.718472222222222,0.690887589534648,0.781458128902401,,,,0.145337003997273,0.142540505895212,0.168429138711038,0.271338290112604,0.272979723226706,0.219112776607567,0.210337492793734,0.177832273488749,,,,100
GSE3365,switchbox_ktsp,0.828589743589744,0.824291666666667,0.809498075969438,0.654962783838049,0.8115,0.837083333333333,0.757820956820957,0.86117519511792,,,,0.114805504914583,0.118470419631481,0.123036456211247,0.225500315822081,0.205953682151884,0.157244605351689,0.153777368295277,0.105273641603776,,,,100
GSE3365,switchbox_tsp,0.80518315018315,0.830458333333333,0.795152856130797,0.639017647166288,0.9055,0.755416666666667,0.758939088689089,0.831366623572506,,,,0.112526542644771,0.109873199307716,0.117023450359402,0.209078506600846,0.163128350037198,0.149469264645612,0.135768212946233,0.108153183646373,,,,100
GSE3365,tspdt_bigtsp,0.85978021978022,0.8385,0.836915457478538,0.697392685967963,0.7745,0.9025,0.778652625152625,0.895178289804451,,,,0.0868740321127227,0.104658133538798,0.102677165877467,0.19855427645185,0.201320765210771,0.100716429156977,0.144672666142743,0.0657116597616044,,,,100
GSE6613,majority,0.522727272727273,0.5,0.34313725490196,0,0,1,0,0.686274509803921,0.5,0.249605489162658,0.692358361430413,0.0228417685286182,0,0.00985331191430605,0,0,0,0,0.0197066238286116,0,0.00109250787741203,0.0021867437615319,100
GSE6613,rrf_ranktreeensemble,0.470727272727273,0.470333333333333,0.39846284352902,-0.0778113534509426,0.478,0.462666666666667,0.396935564435564,0.399990122622476,,,,0.122612979464314,0.120734285423684,0.139155338133142,0.282968380419625,0.349192430524136,0.361605101123102,0.245304066346264,0.273427146054168,,,,100
GSE6613,switchbox_ktsp,0.605545454545454,0.614333333333333,0.582548423798424,0.261260878927875,0.782,0.446666666666667,0.643442668442668,0.521654179154179,,,,0.120298866773648,0.119318585323459,0.133420032114486,0.263724402231687,0.222192927362004,0.198535604069025,0.139329654225558,0.179982444854402,,,,100
GSE6613,switchbox_tsp,0.488454545454546,0.494833333333333,0.450702505827506,-0.00962998104197657,0.638,0.351666666666667,0.512486263736264,0.388918747918748,,,,0.109745929137945,0.112658293674091,0.122891589322391,0.26031802426699,0.285253741377211,0.209610562957249,0.192665474873978,0.179195140193956,,,,100
GSE6613,tspdt_bigtsp,0.556545454545455,0.556333333333333,0.546355366855367,0.115924687242734,0.536,0.576666666666667,0.525952158952159,0.566758574758575,,,,0.160798678610839,0.161568143119031,0.165666450370775,0.337964795965988,0.218127939475433,0.208705055579559,0.181643025576133,0.179479131305206,,,,100
