dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,rank_balanced_accuracy
GSE19804,glmnet_enet,R,25,0.955,0.0464603574546603,0.955,0.0464603574546603,0.9549332117158202,0.046509775114953,0.9118340975391258,0.0922586275189751,4.0
GSE19804,ranger_rf,R,25,0.9516666666666664,0.0428309554030812,0.9516666666666664,0.0428309554030812,0.9515357454140062,0.0430167498781138,0.9060418066263024,0.0838327222304788,5.0
GSE19804,xgboost_shallow,R,25,0.9516666666666664,0.0428309554030812,0.9516666666666664,0.0428309554030812,0.951488386010125,0.0431295863378375,0.9064481241798992,0.0826599987543878,5.0
GSE19804,py_tsp,python_gene_pair,25,0.95,0.0510310363079828,0.95,0.0510310363079828,0.9498596437379048,0.051178154567124,0.9028412337221752,0.1004112766141987,7.0
GSE19804,py_tsp_svm,python_gene_pair,25,0.95,0.0510310363079828,0.95,0.0510310363079828,0.9496932169279996,0.0516386561350051,0.9039579533782124,0.0970874858546622,7.0
GSE19804,switchbox_tsp,R,25,0.9499999999999998,0.0510310363079828,0.9499999999999998,0.0510310363079828,0.9498596437379044,0.051178154567124,0.9028412337221752,0.1004112766141987,9.0
GSE19804,pyrrm_knn5,pyrrm,25,0.9483333333333333,0.0567748150999158,0.9483333333333333,0.0567748150999158,0.9482432350258436,0.0569098517506935,0.8984061968346311,0.1127716203936891,10.0
GSE19804,switchbox_ktsp,R,25,0.9433333333333332,0.0479317609076038,0.9433333333333332,0.0479317609076038,0.9431879193270496,0.0480851930732245,0.8897358158671816,0.0946518521653435,11.0
GSE19804,knn_euclidean,R,25,0.9366666666666664,0.0382638258720996,0.9366666666666664,0.0382638258720996,0.936497942637073,0.0384423021397777,0.8768753193896558,0.0753263358847532,12.0
GSE19804,tspdt_bigtsp,R,25,0.935,0.06259252410690969,0.935,0.06259252410690969,0.9347167634298068,0.06291727074165297,0.8743996438040524,0.12304272642060615,13.0
GSE19804,rrf_ranktreeensemble,R,25,0.9283333333333332,0.0607628968172981,0.9283333333333332,0.0607628968172981,0.927377754612537,0.0630861006154067,0.8644088361975887,0.1106241330208845,14.0
GSE19804,svm_linear,R,25,0.9216666666666664,0.0555381917309227,0.9216666666666664,0.0555381917309227,0.9215242728286204,0.0556362065730761,0.8459878192115162,0.1108625896851338,15.0
GSE19804,rpart_tree,R,25,0.9133333333333332,0.0550147286676065,0.9133333333333332,0.0550147286676065,0.9126606919650396,0.0557634393998856,0.8346795060828407,0.1047914663211366,16.0
GSE19804,majority,R,25,0.5,0.0,0.5,0.0,0.333333333333333,0.0,0.0,0.0,17.0
GSE25837,tspdt_bigtsp,R,25,0.6242105263157895,0.09963755092095769,0.5127142857142857,0.12489825791391955,0.5044657630261635,0.12169827287288791,0.019809006571594952,0.24422059535985033,1.0
GSE25837,glmnet_enet,R,25,0.7532163742690059,0.02046783625731,0.5,0.0,0.4295454545454544,0.006628787878788,0.0,0.0,2.0
GSE25837,majority,R,25,0.7532163742690059,0.02046783625731,0.5,0.0,0.4295454545454544,0.006628787878788,0.0,0.0,2.0
GSE25837,rpart_tree,R,25,0.6242105263157895,0.0971245973968022,0.4905714285714287,0.0989360922016636,0.4774450592025556,0.1029606330949231,-0.0242654978885257,0.2040936013721436,4.0
GSE25837,ranger_rf,R,25,0.7360233918128657,0.0367297708812603,0.4885714285714285,0.0198848727243929,0.4237211632453567,0.0122975844005926,-0.0409167277395524,0.067661194068589,5.0
GSE25837,rrf_ranktreeensemble,R,25,0.6501754385964914,0.163677148536936,0.4878571428571428,0.1051602276023962,0.4282531227797707,0.0992429798789904,-0.0289990945721288,0.1947598035224322,6.0
GSE25837,knn_euclidean,R,25,0.6783625730994153,0.1150768380646626,0.4838571428571429,0.1036746201861781,0.4627695406496851,0.120274886797362,-0.0252868448538019,0.2646102710457137,7.0
GSE25837,svm_linear,R,25,0.612982456140351,0.0961579393709088,0.4804285714285714,0.1129813963374825,0.4697814690171198,0.1120753825770593,-0.0449826799275526,0.2297859516696686,8.0
