method_id,dataset_id,n_jobs,mean_train_seconds,mean_predict_seconds,mean_total_seconds,sum_total_seconds
svm_linear,GSE3365,100,0.0487423920631409,0.236865293979645,0.285607686042786,28.5607686042786
svm_linear,GSE6613,100,0.0558310079574585,0.235093810558319,0.290924818515778,29.0924818515778
switchbox_ktsp,GDS2771,100,0.187957878112793,0.198276057243347,0.38623393535614,38.623393535614
switchbox_ktsp,GSE10072,100,0.156520164012909,0.199318201541901,0.35583836555481,35.583836555481
switchbox_ktsp,GSE17920,100,0.172201192378998,0.207378537654877,0.379579730033875,37.9579730033875
switchbox_ktsp,GSE19804,100,0.183158917427063,0.200038232803345,0.383197150230408,38.3197150230408
switchbox_ktsp,GSE25837,100,0.151228897571564,0.19243022441864,0.343659121990204,34.3659121990204
switchbox_ktsp,GSE27272,100,0.190371005535126,0.197594060897827,0.387965066432953,38.7965066432953
switchbox_ktsp,GSE3365,100,0.169707698822022,0.194672191143036,0.364379889965057,36.4379889965057
switchbox_ktsp,GSE6613,100,0.152673761844635,0.193352878093719,0.346026639938354,34.6026639938355
switchbox_tsp,GDS2771,100,1.29904777526855,0.199087285995483,1.49813506126404,149.813506126404
switchbox_tsp,GSE10072,100,1.13839569330215,0.196749432086945,1.3351451253891,133.51451253891
switchbox_tsp,GSE17920,100,1.21585464239121,0.212742993831635,1.42859763622284,142.859763622284
switchbox_tsp,GSE19804,100,1.21097697734833,0.205179562568665,1.41615653991699,141.615653991699
switchbox_tsp,GSE25837,100,1.09079668998718,0.200385389328003,1.29118207931519,129.118207931519
switchbox_tsp,GSE27272,100,1.30432632923126,0.201928443908691,1.50625477313995,150.625477313995
switchbox_tsp,GSE3365,100,1.18662004470825,0.195559816360474,1.38217986106873,138.217986106873
switchbox_tsp,GSE6613,100,1.13194031953812,0.190319187641144,1.32225950717926,132.225950717926
tspdt_bigtsp,GDS2771,100,21.7630445957184,2.60889230489731,24.3719369006157,2437.19369006157
tspdt_bigtsp,GSE10072,100,9.73621482372284,2.52105833292007,12.2572731566429,1225.72731566429
tspdt_bigtsp,GSE17920,100,13.1772295475006,2.32030431270599,15.4975338602066,1549.75338602066
tspdt_bigtsp,GSE19804,100,10.8296576356888,2.23838555335999,13.0680431890488,1306.80431890488
tspdt_bigtsp,GSE25837,100,8.98712311029434,2.37947943687439,11.3666025471687,1136.66025471687
tspdt_bigtsp,GSE27272,100,22.1270985889435,2.42961195468903,24.5567105436325,2455.67105436325
tspdt_bigtsp,GSE3365,100,10.78381772995,2.48213290691376,13.2659506368637,1326.59506368637
tspdt_bigtsp,GSE6613,100,9.4800159239769,2.50051171779633,11.9805276417732,1198.05276417732
xgboost_shallow,GDS2771,100,0.0887778973579407,0.255457408428192,0.344235305786133,34.4235305786133
xgboost_shallow,GSE10072,100,0.0554519486427307,0.244023187160492,0.299475135803223,29.9475135803223
xgboost_shallow,GSE17920,100,0.0688715577125549,0.247880811691284,0.316752369403839,31.6752369403839
xgboost_shallow,GSE19804,100,0.0665324258804321,0.251645464897156,0.318177890777588,31.8177890777588
xgboost_shallow,GSE25837,100,0.0542020344734192,0.244067931175232,0.298269965648651,29.8269965648651
xgboost_shallow,GSE27272,100,0.0790963220596314,0.249930260181427,0.329026582241058,32.9026582241058
xgboost_shallow,GSE3365,100,0.0704257893562317,0.241266386508942,0.311692175865173,31.1692175865173
xgboost_shallow,GSE6613,100,0.0666240882873535,0.21348349571228,0.280107583999634,28.0107583999634
